player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-01-23,16:58:50,1,1,"Malki, Michael",836280,Right,CAL_LAN,"Chavez, Matthew",1000119380,Right,CAL_LAN,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,82.43064,-0.827824,-0.709597,2355.280136,215.95724,01:15:00,6.11762,0.22447,6.24104,-38.31829,2.59961,0.87496,2.16076,-0.35716,75.10831,-7.951658,-0.551229,0.460392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67303,2.03398,-0.17206,50,6.03744,1.44987,-119.71916,-2.91281,-0.96606,25.47736,-29.25441,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,d8fb8690-f8bf-11f0-94d3-895cca111d13,81.87027,NA,NA,7.32233,NA,NA,NA,NA,NA,NA,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,00:58:50,2026-01-24T00:58:50Z,2026-01-24T00:58:50Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,62cce5e7-2fa3-4389-949e-2f870de68e3c,54.25548,-120.62137,12.73868,6.12225,-1.87685,-14.62721,-0.22401,1.48408,-0.48303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-01-23,16:59:07,1,2,"Malki, Michael",836280,Right,CAL_LAN,"Chavez, Matthew",1000119380,Right,CAL_LAN,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,93.31837,-5.359857,-0.747952,2198.924539,213.549668,01:00:00,5.99337,0.16396,6.52253,-11.27347,20.78517,12.97717,0.12167,0.55914,84.11346,-7.579913,1.609402,0.407515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.11504,13.08469,-0.11742,50,5.61469,1.24453,-134.96436,-12.9,-12.87497,34.56532,-8.49673,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,e3581d10-f8bf-11f0-94d3-895cca111d13,92.49333,NA,NA,9.20491,NA,NA,NA,NA,NA,NA,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,00:59:07,2026-01-24T00:59:07Z,2026-01-24T00:59:07Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,58fdba98-dcdd-42e1-89f6-1d2dceb16566,53.97499,-135.97858,17.28266,5.98954,-12.65069,-4.24836,-0.15948,1.6223,-6.43748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-01-23,16:59:31,1,3,"Malki, Michael",836280,Right,CAL_LAN,"Chavez, Matthew",1000119380,Right,CAL_LAN,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.56018,2.124589,-0.245812,2471.13163,350.391471,05:45:00,6.05855,0.17014,6.12025,-45.1279,-3.09299,0.76528,4.26294,0.00667,73.96573,-6.247497,-0.107807,0.466634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46795,-1.76512,-0.1517,50,6.1984,0.47827,-118.37929,2.93685,-0.6568,24.9021,-34.65143,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,f1a6d550-f8bf-11f0-94d3-895cca111d13,80.77517,NA,NA,7.59445,NA,NA,NA,NA,NA,NA,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,00:59:31,2026-01-24T00:59:31Z,2026-01-24T00:59:31Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,6c2c3881-20cf-4e82-9fb5-0e4fa78e292e,54.37637,-119.29635,12.45105,6.06675,4.21294,-17.32572,-0.16976,0.50246,-0.3284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-01-23,16:59:50,1,4,"Malki, Michael",836280,Right,CAL_LAN,"Chavez, Matthew",1000119380,Right,CAL_LAN,Undefined,1,Top,0,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,82.39992,0.242841,-0.49473,2351.117309,44.859522,07:30:00,5.96947,0.5283,6.20095,-40.7129,0.22528,-1.13858,2.80089,-0.02326,75.08172,-7.317789,-0.70057,0.460506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43504,0.50346,-0.4906,50,5.96784,1.07729,-119.69749,-0.78135,0.6254,25.07352,-31.4503,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,fcee6810-f8bf-11f0-94d3-895cca111d13,81.84997,NA,NA,7.31821,NA,NA,NA,NA,NA,NA,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,00:59:50,2026-01-24T00:59:50Z,2026-01-24T00:59:50Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,8f76e560-26b6-4430-980b-e88fcf0bf41c,54.29531,-120.59389,12.53676,5.97568,0.34303,-15.72515,-0.52872,1.05493,0.3127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-01-23,17:00:12,1,5,"Malki, Michael",836280,Right,CAL_LAN,"Chavez, Matthew",1000119380,Right,CAL_LAN,Undefined,1,Top,0,2,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,81.08383,1.074842,1.782658,2925.181313,31.405607,07:00:00,6.1674,0.05762,5.82507,-57.58109,-14.32087,-9.68032,2.36879,0.90867,73.56673,-9.464377,0.042834,0.473386,64.23846,59.793869,122.875571,5313.685957,NA,NA,NA,NA,43.88795,NA,NA,5.55197,-7.27252,-0.19745,50,6.22116,-3.28627,-117.66245,0.23994,7.63774,26.21852,-42.17874,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,09d15b50-f8c0-11f0-94d3-895cca111d13,79.623,59.90816,NA,7.51711,NA,NA,NA,1.95778,2.42319,-1.011,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,01:00:12,2026-01-24T01:00:12Z,2026-01-24T01:00:12Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,ab9c3a8d-0414-435e-a56e-13792de887f9,54.67541,-118.69969,13.10926,6.17866,1.90859,-21.08937,-0.06146,-3.58843,3.81887,333.636422,1.95778,-25.73024,-2.64882,1.15292,-0.32376,0.08116,-0.01935,0.00384,-4.2e-4,2.42319,81.42367,-28.00461,3.59143,-0.77551,0.15662,-0.03354,0.00615,-6.8e-4,-1.011,39.81011,-5.96394,1.32333,-0.26818,0.05655,-0.01245,0.00225,-2.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-01-23,17:00:36,1,6,"Malki, Michael",836280,Right,CAL_LAN,"Chavez, Matthew",1000119380,Right,CAL_LAN,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.2579,-3.407089,-1.906795,2139.807194,205.71886,12:45:00,6.12594,-0.16398,6.34953,-10.84918,21.34942,9.69812,2.08026,-1.11161,83.81571,-5.567562,-0.15225,0.408404,51.48636,8.293276,162.347807,3485.299725,NA,NA,NA,44.14464,37.71576,163.325361,0.594766,-5.66146,12.57367,0.29813,50,5.873,4.08387,-135.06749,-8.25855,-10.26754,34.42824,-9.37055,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,18108330-f8c0-11f0-94d3-895cca111d13,92.29208,3.15431,NA,9.44219,NA,NA,NA,-0.88533,1.95666,1.1424,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,01:00:36,2026-01-24T01:00:36Z,2026-01-24T01:00:36Z,GroundBall,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,748a47c0-2f22-4bbe-8757-8cc47bcbb3c0,54.14539,-136.12003,17.21412,6.12111,-7.97207,-4.68527,0.16848,4.39778,-5.13377,NA,-0.88533,-71.20517,3.45849,-1.52822,0.39829,-0.01454,-0.16846,0.22672,-0.11329,1.95666,10.89203,-25.3694,2.87862,-0.58271,0.08987,0.01695,-0.04235,0.02229,1.1424,22.65902,-6.12611,1.10362,-0.14233,-0.01924,0.07712,-0.09555,0.0468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-01-23,17:01:02,1,7,"Malki, Michael",836280,Right,CAL_LAN,"Chavez, Matthew",1000119380,Right,CAL_LAN,Undefined,1,Top,0,2,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Out,1,0,NA,79.71654,1.470565,-0.228525,2941.994863,30.960843,07:00:00,6.15578,0.07427,5.93238,-61.31917,-16.98359,-11.08422,2.41049,-1.06143,72.77428,-9.750219,-2.225912,0.479234,91.17398,18.010662,0.148692,1515.509192,109.82245,28.80489,6.23925,300.47353,285.15325,6.895142,3.143176,5.6474,-8.84264,-0.04963,50,6.23829,0.87372,-115.82329,0.94704,7.5605,24.55342,-44.0122,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,27840c60-f8c0-11f0-94d3-895cca111d13,78.65143,32.68672,NA,6.94226,NA,NA,NA,2.13272,2.49187,1.04702,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,01:01:02,2026-01-24T01:01:02Z,2026-01-24T01:01:02Z,LineDrive,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,4c5a7aaf-467f-4728-82fa-a722a5a3fad5,54.57001,-116.78807,12.27671,6.1671,2.67641,-22.0061,-0.07812,0.57664,3.78025,225.285447,2.1328,127.16411,-17.29093,3.38792,-0.49775,0.01128,0.01719,-0.00436,4e-4,2.4917,41.35548,-14.82865,0.63459,-0.28911,0.18661,-0.06685,0.01335,-0.00113,1.04689,0.33824,6.92925,-1.86204,0.23836,0.0545,-0.03266,0.00645,-5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-01-23,17:01:32,2,1,"Malki, Michael",836280,Right,CAL_LAN,"Castelli, Ben",1000434419,Left,CAL_LAN,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.43459,-0.610634,-2.090289,2018.186171,209.77412,01:00:00,6.07436,-9.8e-4,6.4101,-13.48355,20.13336,10.88694,4.38891,-1.01644,82.19251,-3.246176,-0.118746,0.417302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.24402,10.98048,0.14608,50,6.02402,4.34725,-131.35085,-1.70471,-10.86096,28.95677,-13.07442,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,396205e0-f8c0-11f0-94d3-895cca111d13,90.32416,NA,NA,8.24208,NA,NA,NA,NA,NA,NA,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,01:01:32,2026-01-24T01:01:32Z,2026-01-24T01:01:32Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,60fe8d53-def2-40dd-a52f-23bbb948a3e6,54.08561,-132.24848,14.47839,6.07058,-1.29943,-6.53721,0.0061,4.68392,-5.43048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-01-23,17:01:48,2,2,"Malki, Michael",836280,Right,CAL_LAN,"Castelli, Ben",1000434419,Left,CAL_LAN,Undefined,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,83.98279,-1.573105,-1.201909,2410.43473,40.094831,07:15:00,6.00355,0.19144,6.22273,-39.67479,-0.68673,-1.56036,1.24514,-1.04774,77.63084,-8.879977,-1.484376,0.449404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48598,0.40366,-0.10082,50,5.86613,2.61949,-122.09944,-4.61718,0.73494,23.65122,-31.5636,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,43494550-f8c0-11f0-94d3-895cca111d13,83.87199,NA,NA,6.35195,NA,NA,NA,NA,NA,NA,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,01:01:48,2026-01-24T01:01:48Z,2026-01-24T01:01:48Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,9bd54449-f15b-4df3-97ac-b58bffe6be20,54.27686,-122.9251,11.82561,6.00808,-3.51531,-15.7818,-0.19182,2.59383,0.36747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-01-23,17:02:04,2,3,"Malki, Michael",836280,Right,CAL_LAN,"Castelli, Ben",1000434419,Left,CAL_LAN,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,91.31382,-4.50058,-1.680672,2216.663828,221.533172,01:30:00,6.06691,0.05469,6.36889,-13.383,19.76505,16.52434,0.80019,-0.11518,83.40884,-7.081532,1.311923,0.414382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.13965,11.95914,0.0592,50,5.73478,3.22371,-132.32829,-10.74904,-16.14823,29.17691,-11.04425,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,4cbe3af0-f8c0-11f0-94d3-895cca111d13,90.96068,NA,NA,7.90498,NA,NA,NA,NA,NA,NA,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,01:02:04,2026-01-24T01:02:04Z,2026-01-24T01:02:04Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,31cfa81a-b2ef-4747-a03a-7a96f5e1d37c,54.12985,-133.23576,14.58845,6.06376,-10.40554,-5.52213,-0.04888,3.72595,-8.07411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-01-23,17:02:34,2,4,"Malki, Michael",836280,Right,CAL_LAN,"Castelli, Ben",1000434419,Left,CAL_LAN,Undefined,1,Top,1,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,84.26772,0.532727,-1.464953,2487.535014,343.267144,05:30:00,6.01092,0.13364,6.00786,-41.16786,-1.78469,0.92567,3.07398,-1.1467,76.86041,-7.072245,-1.298303,0.451676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9102,-0.63902,-0.0191,50,6.03068,3.09223,-122.36611,-0.24977,-1.37033,25.7342,-33.13612,CAL_LAN,CAL_LAN,705-CalBaptistBaseballField,TeamExclusive,Team,20260123-705-CalBaptistBaseballField-Private-1,5e89bde0-f8c0-11f0-94d3-895cca111d13,83.45019,NA,NA,7.40731,NA,NA,NA,NA,NA,NA,72c4b49c-e916-41ea-ba39-c8295eb39960,2026-01-24,01:02:34,2026-01-24T01:02:34Z,2026-01-24T01:02:34Z,NA,v3,471762,471762,NA,"Hansen, Cole",815412,Right,CAL_LAN,f38818da-ad5b-4def-aa31-f7452632c006,54.48906,-123.30656,12.8671,6.01768,0.96118,-16.56806,-0.13302,3.14231,-0.68516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
